Split_Name,K_shot,Split_Seed,Run_Index,Eval_Split,N_Train_Sentences,N_Eval_Sentences,Max_Train_Steps,Train_Steps,Best_Span_F1_Step,Early_Stopped,Train_Batch_Size,Eval_Batch_Size,Learning_Rate,HF_Token_Precision,HF_Token_Recall,HF_Token_F1,HF_Token_Accuracy,Span_Strict_Precision,Span_Strict_Recall,Span_Strict_F1,Span_Unlabeled_Precision,Span_Unlabeled_Recall,Span_Unlabeled_F1,Span_Loose_Precision,Span_Loose_Recall,Span_Loose_F1
k50_seed142,50,142,6,validation,95,3128,1000,225,150,1,16,16,2e-05,0.7181479682693864,0.7702726167737455,0.7432975871313673,0.958746904507842,0.7573045093734166,0.7786073971175551,0.7678082191780822,0.8859989866576592,0.9109220350755339,0.8982876712328767,0.8135450092889714,0.8187185275221392,0.8161235695791081
k50_seed142,50,142,6,test,95,3453,1000,225,150,1,16,16,2e-05,0.6867450212210251,0.7453933380581148,0.7148683092608327,0.9498675054398174,0.7213701431492843,0.75,0.735406532314107,0.873721881390593,0.9083982990786676,0.890722724113968,0.7713019768234493,0.7879163713678242,0.7795206559909093
k50_seed242,50,242,7,mini_eval,95,100,1000,270,195,1,16,16,2e-05,0.6724137931034483,0.740506329113924,0.7048192771084337,0.9579409918392969,0.7041420118343196,0.7531645569620253,0.72782874617737,0.8284023668639053,0.8860759493670886,0.856269113149847,0.7633136094674556,0.810126582278481,0.7860237063835864
k50_seed242,50,242,7,validation,95,3128,1000,270,195,1,16,16,2e-05,0.7363159619796787,0.7801701684320195,0.7576089705758366,0.9579818397793393,0.7541204170871174,0.7786073971175551,0.7661683041435284,0.8743693239152371,0.902760895988887,0.8883383169585648,0.8050790447359569,0.815940267407536,0.8104732696582603
k50_seed242,50,242,7,test,95,3453,1000,270,195,1,16,16,2e-05,0.6992555831265509,0.7489369241672572,0.7232440756266576,0.9504922765366137,0.7179880647911339,0.7461020552799433,0.731775132504996,0.8710997442455243,0.9052090715804394,0.8878269180641237,0.7575447570332481,0.777462792345854,0.7673745479209678
k50_seed42,50,42,8,mini_eval,86,100,1000,225,150,1,16,16,2e-05,0.7142857142857143,0.759493670886076,0.736196319018405,0.9623352165725048,0.718562874251497,0.759493670886076,0.7384615384615386,0.8323353293413174,0.879746835443038,0.8553846153846154,0.8143712574850299,0.8417721518987342,0.8278450307787363
k50_seed42,50,42,8,validation,86,3128,1000,225,150,1,16,16,2e-05,0.7262761780104712,0.7707935405452335,0.7478729677365007,0.9580825061909843,0.7542702519871469,0.7744400069456503,0.7642220699108978,0.8702858109250803,0.8935579093592637,0.8817683344756682,0.8215795704380179,0.822364993922556,0.8219720945553319
k50_seed42,50,42,8,test,86,3453,1000,225,150,1,16,16,2e-05,0.6968050065876152,0.7496456413890857,0.7222601570501878,0.9520218885322188,0.7253328781153977,0.752834868887314,0.738828029907842,0.8607033117104814,0.8933380581148122,0.8767170926795341,0.7866165926937522,0.7930545712260808,0.7898224629106708
k5_seed142,5,142,9,mini_eval,10,100,1000,555,480,1,16,16,2e-05,0.39166666666666666,0.2974683544303797,0.33812949640287765,0.9020715630885122,0.40336134453781514,0.3037974683544304,0.3465703971119134,0.7226890756302521,0.5443037974683544,0.6209386281588448,0.5210084033613446,0.3860759493670886,0.44350630313691003
k5_seed142,5,142,9,validation,10,3128,1000,555,480,1,16,16,2e-05,0.4354211663066955,0.35006077444000694,0.3881028010395611,0.8958505305119894,0.4495722647456101,0.3467615905539156,0.3915302421331242,0.704637550652859,0.5434971349192568,0.6136653269287324,0.5961278703286808,0.43549227296405624,0.5033036295666662
k5_seed142,5,142,9,test,10,3453,1000,555,480,1,16,16,2e-05,0.4134532990574122,0.3419560595322466,0.37432117920868885,0.8910313031863326,0.42853952657436356,0.3400070871722183,0.379174076269512,0.6900401965163019,0.5474840538625089,0.6105512744516894,0.5696739615899955,0.4287739192062367,0.4892820985025166
k5_seed242,5,242,10,mini_eval,9,100,1000,420,345,1,16,16,2e-05,0.6444444444444445,0.3670886075949367,0.46774193548387094,0.911487758945386,0.7037037037037037,0.36075949367088606,0.4769874476987448,0.8024691358024691,0.41139240506329117,0.5439330543933055,0.7777777777777778,0.3987341772151899,0.5271966527196653
k5_seed242,5,242,10,validation,9,3128,1000,420,345,1,16,16,2e-05,0.6062824031716987,0.3451988192394513,0.43992033635760125,0.894320401054984,0.6206088992974239,0.32210453203681194,0.4240969364426155,0.7791903646704583,0.4044104879319326,0.5324645633287609,0.739377718300435,0.37072408404236845,0.49383782063912085
k5_seed242,5,242,10,test,9,3453,1000,420,345,1,16,16,2e-05,0.580607476635514,0.35223245924875973,0.4384649316277018,0.8907081457224724,0.5845092505487613,0.33026222537207656,0.42205366240235487,0.7384760112888052,0.4172572643515237,0.5332276689686404,0.7149576669802445,0.3862508858965273,0.5015453821680153
k5_seed42,5,42,11,mini_eval,10,100,1000,330,255,1,16,16,2e-05,0.4051724137931034,0.2974683544303797,0.3430656934306569,0.9033270558694287,0.4777777777777778,0.2721518987341772,0.3467741935483871,0.7111111111111111,0.4050632911392405,0.5161290322580645,0.6555555555555556,0.34177215189873417,0.44930193202651253
k5_seed42,5,42,11,validation,10,3128,1000,330,255,1,16,16,2e-05,0.447887323943662,0.33130751866643515,0.38087633496356915,0.8885018824618978,0.5306943978530695,0.2747004688313943,0.3620137299771167,0.7520966118752097,0.38930369855877756,0.5130434782608695,0.6400536732640054,0.32088904323667305,0.4274681670552208
k5_seed42,5,42,11,test,10,3453,1000,330,255,1,16,16,2e-05,0.42476851851851855,0.32512402551381997,0.3683259735046166,0.8827800159424349,0.49361171704580864,0.2806520198440822,0.35784479837343275,0.69460891243378,0.3949326718639263,0.5035581158929177,0.6297912122156435,0.3392983699503898,0.44100594134183363
