Split_Name,K_shot,Split_Seed,Run_Index,Eval_Split,N_Train_Sentences,N_Eval_Sentences,Max_Train_Steps,Train_Steps,Best_Span_F1_Step,Early_Stopped,Train_Batch_Size,Eval_Batch_Size,Learning_Rate,HF_Token_Precision,HF_Token_Recall,HF_Token_F1,HF_Token_Accuracy,Span_Strict_Precision,Span_Strict_Recall,Span_Strict_F1,Span_Unlabeled_Precision,Span_Unlabeled_Recall,Span_Unlabeled_F1,Span_Loose_Precision,Span_Loose_Recall,Span_Loose_F1
k20_seed42,20,42,5,test,588,37648,1000,840,765,1,16,16,2e-05,0.4134280212235214,0.5260812473505175,0.463000709774874,0.8798636741660371,0.4920434030039643,0.5466877591323138,0.5179282478266193,0.7595246514917456,0.8438743964349598,0.7994808375168361,0.5633177613579259,0.6131910625846542,0.5871973242025317
k50_seed142,50,142,6,mini_val,1392,500,1000,630,555,1,16,16,2e-05,0.46034816247582205,0.5653206650831354,0.5074626865671642,0.8913740646328427,0.5417590539541759,0.5803642121931908,0.5603975535168196,0.7664449371766445,0.8210609659540776,0.7928134556574924,0.6075388026607539,0.6405384006334125,0.6236023411884022
k50_seed142,50,142,6,validation,1392,18208,1000,630,555,1,16,16,2e-05,0.4457431657924902,0.5443266171792153,0.4901268046749675,0.8903083208680316,0.5326646350077701,0.5597667020148462,0.5458794816906068,0.794466084078387,0.8348886532343585,0.8141759480449642,0.6021312236372076,0.6226723223753977,0.6122295263065173
k50_seed142,50,142,6,test,1392,37648,1000,630,555,1,16,16,2e-05,0.4401644592727395,0.5401739094471499,0.485067940522448,0.8891336134499459,0.5267113329141779,0.55434928709534,0.5401770196817274,0.7936281829613329,0.8352719790729655,0.813917756877522,0.5940152467777429,0.6154657402524892,0.6045502781767832
k50_seed242,50,242,7,mini_val,1421,500,1000,870,795,1,16,16,2e-05,0.4923179692718771,0.5835312747426762,0.5340579710144928,0.8950744182221857,0.5536888239590942,0.6001583531274742,0.5759878419452888,0.7801314828341855,0.8456057007125891,0.8115501519756838,0.618699780861943,0.6587490102929533,0.6380966049414853
k50_seed242,50,242,7,validation,1421,18208,1000,870,795,1,16,16,2e-05,0.495457658891813,0.5829692470837752,0.53566278208676,0.8975262887633676,0.5645429584944986,0.5974337221633086,0.5805228394489269,0.8000080165140189,0.8466171792152705,0.8226529413583109,0.632863699220394,0.6617179215270413,0.6469692523770729
k50_seed242,50,242,7,test,1421,37648,1000,870,795,1,16,16,2e-05,0.48714254529578693,0.5768375776750726,0.5282093523068329,0.8955324480488772,0.5568858198794009,0.5920262208298438,0.573918621609025,0.7955067107566621,0.8457044780131725,0.8198379247959026,0.6245574790896713,0.655944663296008,0.6398663957987919
k50_seed42,50,42,8,mini_val,1395,500,1000,720,645,1,16,16,2e-05,0.4697164948453608,0.5771971496437055,0.5179396092362345,0.8949099580626593,0.5505124450951684,0.5954077593032462,0.5720806390262457,0.7679355783308931,0.8305621536025336,0.7980220616203879,0.6215226939970717,0.6611243072050673,0.6407121524408953
k50_seed42,50,42,8,validation,1395,18208,1000,720,645,1,16,16,2e-05,0.47995444596686654,0.5720466595970307,0.5219696749784706,0.8950592753008417,0.5558586932536259,0.587677624602333,0.5713254775822431,0.7964252041164316,0.8420148462354189,0.8185857586160682,0.6239844329876226,0.6504559915164368,0.636945290255885
k50_seed42,50,42,8,test,1395,37648,1000,720,645,1,16,16,2e-05,0.4751651049410463,0.5683488941964702,0.5175964331618025,0.8939224116844503,0.5516062418421617,0.5855123711446798,0.5680538070709554,0.7945491028812998,0.8433884425695586,0.8182406371784391,0.6177163897060256,0.6471457964990642,0.6320887277470002
k5_seed142,5,142,9,mini_val,159,500,1000,840,765,1,16,16,2e-05,0.2351380042462845,0.3507521773555028,0.28153797267238645,0.8413781761368309,0.3231833910034602,0.36975455265241486,0.344903988183161,0.6782006920415224,0.7759303246239113,0.723781388478582,0.40484429065743943,0.43784639746634996,0.4206991170006632
k5_seed142,5,142,9,validation,159,18208,1000,840,765,1,16,16,2e-05,0.22814474273900912,0.3346977730646872,0.27133535647045676,0.8404791141077449,0.31162675600563444,0.34721102863202546,0.3284579270494764,0.7012982068755472,0.7813785790031813,0.7391757955138237,0.3858834278752808,0.4096288441145281,0.39740174498660186
k5_seed142,5,142,9,test,159,37648,1000,840,765,1,16,16,2e-05,0.22498839939817483,0.33087254567449365,0.26784570895288157,0.8401769844160221,0.3083191945039357,0.34383820838115325,0.3251114500234632,0.7016104358467999,0.7824374205155247,0.7398228531206007,0.37935638194309235,0.40336238717081796,0.3909912521512087
k5_seed242,5,242,10,mini_val,173,500,1000,570,495,1,16,16,2e-05,0.23105458399576045,0.3452098178939034,0.27682539682539686,0.8431050078118576,0.3403179190751445,0.37292161520190026,0.3558745749905554,0.7109826589595376,0.7790973871733967,0.7434831885153004,0.41329479768786126,0.43547110055423593,0.42409324119932384
k5_seed242,5,242,10,validation,173,18208,1000,570,495,1,16,16,2e-05,0.2376747608535688,0.3493743372216331,0.2828978438763857,0.843372552521712,0.3423741444568649,0.37026511134676565,0.3557738356038761,0.7236178933537291,0.7825662778366914,0.7519385374104605,0.4088760761703046,0.4287168610816543,0.4185614757503292
k5_seed242,5,242,10,test,173,37648,1000,570,495,1,16,16,2e-05,0.235672047530968,0.34778787596803046,0.28095804882123243,0.8426947725456729,0.3401520912547529,0.36998666211731135,0.3544426670364556,0.7212357414448669,0.7844949698605209,0.7515365224324848,0.40466730038022813,0.42804263986682795,0.41602688079151423
k5_seed42,5,42,11,mini_val,164,500,1000,1000,960,0,16,16,2e-05,0.268058690744921,0.3760886777513856,0.31301482701812194,0.8537126881013074,0.36035372144436256,0.38717339667458434,0.37328244274809164,0.7295504789977892,0.7838479809976246,0.7557251908396946,0.42225497420781133,0.4410134600158353,0.4314304098278663
k5_seed42,5,42,11,validation,164,18208,1000,1000,960,0,16,16,2e-05,0.25726172238743206,0.36328738069989397,0.30121689586044387,0.8498760911790315,0.3627137718293443,0.38279957582184515,0.3724860954896761,0.75416490826149,0.7959278897136798,0.7744838047280495,0.4204698458632262,0.4364156945917285,0.4282944014666174
k5_seed42,5,42,11,test,164,37648,1000,1000,960,0,16,16,2e-05,0.2543759845965342,0.3606191259034089,0.29832056759426756,0.8500600638144056,0.3575703985852265,0.38048119772118655,0.3686701965125657,0.7506656042909614,0.7987634025042133,0.7739679709063223,0.41420992284820335,0.4334605084938532,0.42361662538287004
