Split_Name,K_shot,Split_Seed,Run_Index,Eval_Split,N_Train_Sentences,N_Eval_Sentences,Max_Train_Steps,Train_Steps,Best_Span_F1_Step,Early_Stopped,Train_Batch_Size,Eval_Batch_Size,Learning_Rate,HF_Token_Precision,HF_Token_Recall,HF_Token_F1,HF_Token_Accuracy,Span_Strict_Precision,Span_Strict_Recall,Span_Strict_F1,Span_Unlabeled_Precision,Span_Unlabeled_Recall,Span_Unlabeled_F1,Span_Loose_Precision,Span_Loose_Recall,Span_Loose_F1
k20_seed142,20,142,3,validation,40,2992,1000,270,195,1,16,16,2e-05,0.5425826412636379,0.6001440922190202,0.5699136235354486,0.934975615855946,0.5621311751812511,0.6005043227665706,0.5806844901158233,0.7357949755521834,0.7860230547550432,0.7600801184359487,0.7206204687236554,0.7065922190201729,0.713537401172822
k20_seed142,20,142,3,test,40,3453,1000,270,195,1,16,16,2e-05,0.5074045206547155,0.5767186392629341,0.5398457583547557,0.9279574293900942,0.5307679818152298,0.5791991495393338,0.5539269677200712,0.7031985711966229,0.767363571934798,0.7338812166398373,0.6924825458678356,0.6952515946137491,0.6938643075967335
k20_seed242,20,242,4,mini_eval,39,200,1000,270,195,1,16,16,2e-05,0.6151603498542274,0.6374622356495468,0.6261127596439169,0.9415297092288243,0.6242603550295858,0.6374622356495468,0.6307922272047833,0.7751479289940828,0.7915407854984894,0.7832585949177877,0.7337278106508875,0.7190332326283988,0.7263062043166884
k20_seed242,20,242,4,validation,39,2992,1000,270,195,1,16,16,2e-05,0.6310020876826722,0.653278097982709,0.6419469026548672,0.942457588262265,0.6415464101193658,0.6485951008645533,0.6450515002239141,0.7919116337074649,0.8006123919308358,0.7962382445141066,0.7600213789417424,0.7244236311239193,0.7417956789661498
k20_seed242,20,242,4,test,39,3453,1000,270,195,1,16,16,2e-05,0.5906183368869936,0.6380226789510985,0.6134060131164296,0.937975310769761,0.6026612767390939,0.6339475549255847,0.6179086434677489,0.7522317668856324,0.7912827781715096,0.7712632760556083,0.7416203469765875,0.72537207654146,0.7334062295996409
k20_seed42,20,42,5,mini_eval,37,200,1000,225,150,1,16,16,2e-05,0.6100278551532033,0.6616314199395771,0.6347826086956522,0.9415297092288243,0.625,0.6646525679758308,0.6442166910688141,0.78125,0.8308157099697885,0.8052708638360175,0.7159090909090909,0.7341389728096677,0.7249094395908802
k20_seed42,20,42,5,validation,37,2992,1000,225,150,1,16,16,2e-05,0.6649651182576144,0.7038904899135446,0.6838743547116982,0.9458130132132884,0.6864779321259011,0.7031700288184438,0.6947237298692054,0.8204677334271144,0.8404178674351584,0.8303229824717502,0.7659574468085106,0.7638688760806917,0.764911735750841
k20_seed42,20,42,5,test,37,3453,1000,225,150,1,16,16,2e-05,0.624507874015748,0.6745216158752658,0.6485519591141397,0.9387293448521016,0.6494634644864589,0.6755846917080085,0.662266608771168,0.8020780105603815,0.8343373493975904,0.8178897090751195,0.7305399420882303,0.7352941176470589,0.732909320200546
k50_seed142,50,142,6,mini_eval,95,200,1000,345,270,1,16,16,2e-05,0.7162921348314607,0.770392749244713,0.7423580786026202,0.9623893805309734,0.7660818713450293,0.7915407854984894,0.7786032689450224,0.8976608187134503,0.9274924471299094,0.9123328380386331,0.804093567251462,0.8217522658610272,0.8128270188917082
k50_seed142,50,142,6,validation,95,2992,1000,345,270,1,16,16,2e-05,0.747921967769296,0.7941282420749279,0.7703328382982441,0.9626526614146972,0.7837123215230037,0.8007925072046109,0.7921603563474388,0.9053410893707033,0.9250720461095101,0.9151002227171492,0.8237264234091309,0.8305115273775217,0.8271050603347821
k50_seed142,50,142,6,test,95,3453,1000,345,270,1,16,16,2e-05,0.7193793331132387,0.7721474131821403,0.7448299435993847,0.9534868690350519,0.7474764756201882,0.7740963855421686,0.7605535729828531,0.8889649272882806,0.920623671155209,0.904517364435547,0.7828913601368691,0.8031537916371367,0.7928931451044544
k50_seed242,50,242,7,mini_eval,95,200,1000,285,210,1,16,16,2e-05,0.672316384180791,0.7190332326283988,0.6948905109489051,0.95448798988622,0.6997084548104956,0.7250755287009063,0.7121661721068249,0.8396501457725948,0.8700906344410876,0.8545994065281899,0.7667638483965015,0.7854984894259819,0.776018112385308
k50_seed242,50,242,7,validation,95,2992,1000,285,210,1,16,16,2e-05,0.740402823205371,0.7746757925072046,0.757151659184931,0.9584427493643449,0.7580417108518911,0.7725144092219021,0.7652096342551293,0.8822905620360552,0.899135446685879,0.8906333630686888,0.8087663485330505,0.8105187319884726,0.8096415920497851
k50_seed242,50,242,7,test,95,3453,1000,285,210,1,16,16,2e-05,0.6955283872048234,0.7358256555634302,0.7151097718467498,0.9497166986233492,0.7162581981360028,0.7352941176470589,0.7256513376464416,0.8847083189506386,0.9082211197732105,0.8963105438013638,0.7540559199171557,0.7650602409638554,0.7595182233562295
k50_seed42,50,42,8,mini_eval,86,200,1000,225,150,1,16,16,2e-05,0.6855524079320113,0.7311178247734139,0.7076023391812865,0.95448798988622,0.6914285714285714,0.7311178247734139,0.71071953010279,0.8314285714285714,0.879154078549849,0.8546255506607928,0.7714285714285715,0.7945619335347432,0.782824385404035
k50_seed42,50,42,8,validation,86,2992,1000,225,150,1,16,16,2e-05,0.7318027210884354,0.775036023054755,0.7527991602519244,0.9594014422074945,0.7579260816255036,0.7793587896253602,0.7684930290382738,0.8696794534944824,0.8942723342939481,0.8818044578634225,0.8264144333508495,0.827449567723343,0.8269316765977734
k50_seed42,50,42,8,test,86,3453,1000,225,150,1,16,16,2e-05,0.6914546640574037,0.7512402551381998,0.7201086956521738,0.9520003447012948,0.7164983164983165,0.7540751240255138,0.7348066298342543,0.8484848484848485,0.892983699503898,0.8701657458563536,0.7814814814814814,0.7983699503897945,0.7898354478331086
k5_seed142,5,142,9,mini_eval,10,200,1000,615,540,1,16,16,2e-05,0.38848920863309355,0.32628398791540786,0.35467980295566504,0.9017067003792667,0.4007352941176471,0.3293051359516616,0.3615257048092869,0.7058823529411765,0.5800604229607251,0.6368159203980099,0.5625,0.4229607250755287,0.48285112090438775
k5_seed142,5,142,9,validation,10,2992,1000,615,540,1,16,16,2e-05,0.42228801015013745,0.35969020172910665,0.38848361054372144,0.8960026676670418,0.4376377258704275,0.3577089337175792,0.3936570862239841,0.6994270603790216,0.571685878962536,0.6291377601585729,0.5740414279418246,0.4465057636887608,0.5023046621932805
k5_seed142,5,142,9,test,10,3453,1000,615,540,1,16,16,2e-05,0.38971774193548386,0.342487597448618,0.3645794039984911,0.8892000775577913,0.4048770233340341,0.34124734231041814,0.3703490049033747,0.6754256884591129,0.5692771084337349,0.6178252091145082,0.5438301450494009,0.4324946846208363,0.48181433048237954
k5_seed242,5,242,10,mini_eval,9,200,1000,570,495,1,16,16,2e-05,0.7071428571428572,0.2990936555891239,0.4203821656050956,0.8979140328697851,0.7698412698412699,0.2930513595166163,0.42450765864332607,0.8571428571428571,0.32628398791540786,0.47264770240700216,0.8333333333333334,0.31419939577039274,0.4563405002193945
k5_seed242,5,242,10,validation,9,2992,1000,570,495,1,16,16,2e-05,0.6262875978574372,0.2737752161383285,0.3810001253289886,0.8857488224750948,0.6668224299065421,0.25702449567723346,0.3710348413936558,0.7934579439252336,0.305835734870317,0.4414976599063962,0.7808411214953271,0.29394812680115273,0.4271103108942674
k5_seed242,5,242,10,test,9,3453,1000,570,495,1,16,16,2e-05,0.6138088012139605,0.28667611622962436,0.3908212560386473,0.8826076652950428,0.634176690170054,0.27090715804394044,0.3796399751707014,0.7565325591041062,0.32317505315379164,0.4528864059590316,0.7581916217337205,0.3132530120481928,0.4433375308987454
k5_seed42,5,42,11,mini_eval,10,200,1000,255,180,1,16,16,2e-05,0.4588744588744589,0.3202416918429003,0.3772241992882562,0.8979140328697851,0.5397727272727273,0.28700906344410876,0.3747534516765287,0.7670454545454546,0.4078549848942598,0.5325443786982248,0.6534090909090909,0.3293051359516616,0.4379115792415588
k5_seed42,5,42,11,validation,10,2992,1000,255,180,1,16,16,2e-05,0.44998733856672574,0.32006484149855907,0.3740658878012841,0.887520320120045,0.5378982057854266,0.2645893371757925,0.3547024025111675,0.7539362870743318,0.37085734870317005,0.49716286369672824,0.6481142438667155,0.3090778097982709,0.41855284992471803
k5_seed42,5,42,11,test,10,3453,1000,255,180,1,16,16,2e-05,0.42152794727849646,0.30598866052445073,0.3545837183040756,0.8807979834974256,0.4941569282136895,0.26222537207654145,0.3426322491029054,0.6984974958263773,0.3706591070163005,0.48431531427248525,0.6327212020033389,0.31945428773919204,0.424555143670243
